load,strategy,request_id,hops,max_distance_km,max_fsl_dB,max_path_fsl_sum_dB,max_solar_penalty_dB,max_doppler_penalty_mdB,max_edfa_gain_deg_dB,max_edfa_nf_inc_dB,max_xt_noise_dBm,min_osnr_dB,osnr_range_dB,osnr_std_dB
Low,Baseline,1,4,3899.7420517990768,269.9982809489243,1075.9084041207195,51.49109047218303,0.4345823017164733,0.19253411736546072,0.38506823473092144,-127.30447429047277,-29.362259664281787,47.8288617729271,17.078287672421755
Low,Baseline,2,3,3899.7420517990777,269.9982809489243,808.2107422386923,44.89146296528871,0.3835773292712076,0.05637218414660954,0.11274436829321909,-132.05391006478462,-22.72663821536817,41.612007890975036,10.950025233308786
Low,Baseline,3,4,3899.742051799076,269.9982809489243,1076.3168173567299,0.0,0.5104053749774847,0.22374553579892367,0.44749107159784735,-127.29964736560342,16.794857213859856,1.8355663148838204,0.6266089900643048
Low,Baseline,4,4,3899.742051799076,269.9982809489243,1079.993123795697,0.0,0.00513784977541516,0.08121500173967681,0.16243000347935363,-146.94451081446837,16.081633575196157,0.06436133160590884,0.02584139673661535
Low,Baseline,5,4,3899.7420517990818,269.9982809489243,1074.0458712341253,0.0,0.5104053749774847,0.22078556233579377,0.44157112467158754,-127.25368809321762,17.339787826297204,3.1346203281668394,1.0584378576924114
Low,Baseline,6,6,3899.7420517990777,269.9982809489243,1615.905831666725,52.347977217214535,0.484967341343039,0.19992308494406916,0.3998461698881383,-128.99590309081643,-27.916112616361524,43.68848258383768,15.21951877289379
Low,Baseline,7,4,3899.7420517990768,269.9982809489243,1079.993123795697,0.0,0.0048287070191627545,0.16090396235712287,0.32180792471424574,-142.96511073306544,16.022890925533897,0.1196153276257057,0.044996842154962156
Low,Baseline,8,3,3899.7420517990768,269.9982809489243,808.1455973417553,51.49337001918263,0.5050318093193115,0.22078556233579377,0.44157112467158754,-132.02490064041424,-29.362253576347925,48.2410145725042,17.367046063028283
Low,Baseline,9,9,3899.742051799081,269.9982809489243,2412.483753588927,48.400606043742755,0.5050318093193115,0.21193671791282426,0.4238734358256485,-126.00430072713472,-26.235911522061205,40.99315806378373,10.827943002480703
Low,Baseline,10,8,3899.7420517990777,269.9982809489243,2140.8294517627473,0.0,0.4682642900163628,0.16090396235712287,0.32180792471424574,-128.87588297665673,14.970392700110649,0.38131374471646495,0.1369586017127762
Low,QoT-GLR,1,4,3899.7420517990754,269.9982809489243,1075.8806764860733,11.505861500298245,0.4530419897371583,0.19506379127223009,0.39012758254446017,-129.21542726208096,15.979404378805043,2.390659670090532,0.5781665474479463
Low,QoT-GLR,2,3,3899.7420517990754,269.9982809489243,808.2095170223963,0.0,0.36311079859361556,0.12806444144514645,0.2561288828902929,-132.20304449710338,17.792160053840153,1.0887202475236073,0.3698522492942331
Low,QoT-GLR,3,4,3899.742051799076,269.9982809489243,1076.3168173567299,0.0,0.5104053749774847,0.22374553579892367,0.44749107159784735,-128.89320788222355,16.796436943814534,1.8363226486748836,0.6268682480348472
Low,QoT-GLR,4,4,3899.742051799076,269.9982809489243,1079.993123795697,0.0,0.00513784977541516,0.08121500173967681,0.16243000347935363,-146.94451081978593,16.081633575201618,0.06436133160213586,0.025841396735089037
Low,QoT-GLR,5,4,3899.7420517990818,269.9982809489243,1074.0458712341253,0.0,0.5104053749774847,0.22078556233579377,0.44157112467158754,-129.06055995616035,17.34156298253504,3.1364174474930557,1.0590405397188822
Low,QoT-GLR,6,6,3899.742051799076,269.9982809489243,1614.2470727751593,52.4768007297382,0.4530419897371583,0.18713177006296267,0.37426354012592533,-129.21542726208096,-21.39049945183013,36.93080359630966,9.772288842132165
Low,QoT-GLR,7,4,3899.7420517990768,269.9982809489243,1079.993123795697,0.0,0.0048287070191627545,0.16090396235712287,0.32180792471424574,-146.94451081978582,16.026197479810016,0.11967745804973262,0.04501275973651528
Low,QoT-GLR,8,3,3899.7420517990818,269.9982809489243,808.205920944205,0.0,0.39269544186820976,0.2345368127500123,0.4690736255000246,-131.9321390210804,17.883131778450263,0.9565048331253863,0.2999615661941552
Low,QoT-GLR,9,9,3899.7420517990813,269.9982809489243,2410.9424653870897,0.0,0.5050318093193115,0.21193671791282426,0.4238734358256485,-128.99983523010124,14.18449086956099,0.41421930135650165,0.13985293176839805
Low,QoT-GLR,10,8,3899.742051799082,269.9982809489243,2142.4180286804653,11.519172172296585,0.4682642900163628,0.14248479915665754,0.2849695983133151,-128.89320788222355,14.148167490521102,1.5022657805300472,0.38967892075560384
Medium,Baseline,1,6,3899.7420517990804,269.9982809489243,1604.407610098211,6.018757477773498,0.49079052320625727,0.21798229911669573,0.43596459823339145,-125.87050003360662,16.306155395134905,0.6539712185513977,0.21879102397587163
Medium,Baseline,2,6,3899.742051799071,269.9982809489243,1600.76847008042,49.28273255252629,0.4728358822036867,0.15632971411294788,0.31265942822589576,-124.96814671863655,-27.122377946356412,44.932446795282765,14.956787148753358
