strategy,offered_load,accepted,acceptance_rate,capacity_utilization_pct,mean_link_occupation_pct,p95_link_occupation_pct,max_link_occupation_pct,mean_same_wavelength_interferers,mean_adjacent_channel_occupancy,p95_xt_noise_dBm,median_xt_noise_dBm,ber_gt_fec_rate_pct,mean_hops
Baseline,10,10,1.0,0.9259259259259259,0.9259259259259259,4.166666666666667,12.5,1.7142857142857142,0.2857142857142857,-129.06055995131243,-144.2886418133028,10.0,5.6
QoT-GLR,10,10,1.0,0.9259259259259259,0.9259259259259259,4.166666666666667,8.333333333333334,1.6428571428571428,0.0,-132.39475264995684,-144.72799091587058,0.0,5.6
Baseline,50,50,1.0,4.563492063492063,4.563492063492064,12.5,25.0,2.0217391304347827,0.4927536231884058,-128.89320787777112,-145.18359822585856,12.0,5.52
QoT-GLR,50,50,1.0,4.563492063492063,4.563492063492064,12.5,16.666666666666668,1.6376811594202898,0.0,-130.41814546903097,-146.94451081978582,4.0,5.52
Baseline,100,100,1.0,9.606481481481481,9.606481481481481,29.166666666666668,41.666666666666664,2.2099827882960414,0.7814113597246127,-128.89320787149285,-143.9342108606182,20.0,5.81
QoT-GLR,100,100,1.0,9.573412698412698,9.573412698412698,16.666666666666668,20.833333333333332,1.6545768566493955,0.0,-131.0760738128418,-146.38286172500761,2.0,5.79
Baseline,200,200,1.0,18.601190476190474,18.601190476190478,50.0,87.5,2.359111111111111,0.832,-128.65723287830176,-142.9651107310432,13.5,5.625
QoT-GLR,200,200,1.0,18.601190476190474,18.601190476190478,29.166666666666668,37.5,1.6711111111111112,0.12088888888888889,-130.41814546903097,-145.70729504412756,1.0,5.625
Baseline,400,384,0.96,37.301587301587304,37.301587301587304,87.5,100.0,2.624113475177305,1.0124113475177305,-127.40784547459653,-143.05199645720597,15.104166666666666,5.875
QoT-GLR,400,382,0.955,36.85515873015873,36.85515873015873,54.166666666666664,62.5,2.2225213100044865,0.6532077164647824,-129.38445269331703,-143.9342108606181,1.0471204188481675,5.835078534031414
