strategy,request_id,accepted,hops,wavelength,initial_osnr_dB,initial_ber,q_factor,load
Baseline,1,True,4,0,17.885419227058335,4.148267437111509e-13,7.156164880899864,Low
Baseline,2,True,3,0,18.399507319434395,1.5689696233972088e-14,7.59249899227396,Low
Baseline,3,True,4,0,18.648199251600587,2.7915257736014863e-15,7.8130272594821015,Low
Baseline,4,True,4,0,16.154690723237124,2.2684548961833285e-09,5.863324266190301,Low
Baseline,5,True,4,0,20.228464524484515,3.558310732611251e-21,9.372006976231864,Low
Baseline,6,True,6,1,15.785037872030273,9.601683374499994e-09,5.619028962070209,Low
Baseline,7,True,4,0,16.150970374411912,2.3030264322480123e-09,5.8608134191144785,Low
Baseline,8,True,3,2,18.880264151748843,5.093484453850062e-16,8.024585053765549,Low
Baseline,9,True,9,0,14.641630710678777,4.1973508519039706e-07,4.925960358082467,Low
Baseline,10,True,8,1,15.340787282866739,4.676575502408926e-08,5.338862563634892,Low
QoT-GLR,1,True,4,0,17.112025019183925,2.944624972743429e-11,6.546521943401053,Low
QoT-GLR,2,True,3,0,17.874328193348145,4.433678723309244e-13,7.147032987980256,Low
QoT-GLR,3,True,4,0,18.648199251600587,2.7915257736014863e-15,7.8130272594821015,Low
QoT-GLR,4,True,4,1,16.154690723237124,2.2684548961833285e-09,5.863324266190301,Low
QoT-GLR,5,True,4,0,20.235018392088303,3.3275050520388186e-21,9.379081216680085,Low
QoT-GLR,6,True,6,3,15.156024538934737,8.637638094196928e-08,5.226495778205138,Low
QoT-GLR,7,True,4,1,16.15457692210223,2.2695050896021243e-09,5.863247446358085,Low
QoT-GLR,8,True,3,2,18.15366490919991,7.877929427529863e-14,7.380616205151042,Low
QoT-GLR,9,True,9,2,14.487348420732447,6.516961578019017e-07,4.839235952108202,Low
QoT-GLR,10,True,8,0,14.847030433236586,2.281460216365109e-07,5.043835321335703,Low
Baseline,1,True,6,0,16.980245670458242,5.668657921047369e-11,6.4479499908431634,Medium
Baseline,2,True,6,0,-27.12237703865688,0.48396445976373414,0.04020596822027769,Medium
Baseline,3,True,3,0,17.40389485538787,6.4284085744136595e-12,6.770240863156913,Medium
Baseline,4,True,8,0,16.744950814042245,1.741173674979074e-10,6.275624035549901,Medium
Baseline,5,True,6,0,17.034012427662464,4.3495274069836756e-11,6.487987408623817,Medium
Baseline,6,True,2,1,21.47438551762873,1.4214750227780232e-27,10.817543564227194,Medium
Baseline,7,True,5,1,16.784791327537988,1.4458597314419393e-10,6.304475238886025,Medium
Baseline,8,True,6,1,16.1859750191025,1.9965310729438352e-09,5.88448049877233,Medium
Baseline,9,True,4,0,16.149981236361587,2.3123014717804154e-09,5.860146035147314,Medium
Baseline,10,True,5,1,16.018327162127093,3.916987312828462e-09,5.771992193965011,Medium
Baseline,11,True,6,0,16.198531972077536,1.8963045528555403e-09,5.892993683366843,Medium
Baseline,12,True,7,2,15.755439298437286,1.0722920982657097e-08,5.599913799693383,Medium
Baseline,13,True,2,0,25.01563536079752,9.086243624788111e-60,16.262643621955718,Medium
Baseline,14,True,8,1,-27.12249345016266,0.4839646745607593,0.040205429368630634,Medium
Baseline,15,True,3,0,19.122729205276418,7.804863425117513e-17,8.251745732281847,Medium
Baseline,16,True,8,0,14.921493259135099,1.8163564231971507e-07,5.087261239149925,Medium
Baseline,17,True,3,0,-27.122049567215107,0.4839638555134455,0.04020748407589268,Medium
Baseline,18,True,2,0,19.164638207066538,5.584116496602147e-17,8.291656216165476,Medium
Baseline,19,True,9,2,-27.172435258871243,0.4840565602290596,0.03997492098925095,Medium
Baseline,20,True,8,1,-27.12225725233396,0.48396423873665506,0.04020652270099327,Medium
Baseline,21,True,12,3,-27.172496061898865,0.48405667177661577,0.03997464115749864,Medium
Baseline,22,True,4,2,20.33373416785213,1.1970949673697319e-21,9.486283191090632,Medium
Baseline,23,True,10,0,14.296019918063331,1.1017466531429695e-06,4.733805096404146,Medium
Baseline,24,True,5,3,19.13011723186473,7.359216876775865e-17,8.258767471462548,Medium
Baseline,25,True,3,0,18.786320542646028,1.025173127386586e-15,7.938261552894436,Medium
Baseline,26,True,3,3,20.538819993257572,1.327918198804108e-22,9.712932634663169,Medium
Baseline,27,True,7,1,15.714936938887467,1.2457645509173326e-08,5.573862152138701,Medium
Baseline,28,True,6,4,-27.12224457048024,0.4839642153362003,0.04020658140466473,Medium
Baseline,29,True,6,0,16.08157595046191,3.046663882686095e-09,5.81417600544178,Medium
Baseline,30,True,7,4,-27.172460659961306,0.4840566068292931,0.03997480408642051,Medium
Baseline,31,True,5,2,16.38258032823103,8.764344960179714e-10,6.019194726620687,Medium
Baseline,32,True,4,0,17.94541092362025,2.8860038646085645e-13,7.205762157617247,Medium
Baseline,33,True,7,2,15.192826556547809,7.659339531771464e-08,5.248687362128801,Medium
Baseline,34,True,2,2,20.024431429828404,2.7324681479744633e-20,9.154422418071649,Medium
Baseline,35,True,3,0,17.400662552821238,6.5412953659704784e-12,6.767721904643754,Medium
Baseline,36,True,4,1,19.400763626220865,7.966911821298201e-18,8.520156229977164,Medium
Baseline,37,True,6,0,-27.172453742224086,0.48405659413819097,0.0399748359237235,Medium
Baseline,38,True,3,5,21.55000501315412,5.043111063555253e-28,10.912132421892165,Medium
Baseline,39,True,4,3,18.091054716446788,1.1715012156043557e-13,7.327606054104865,Medium
Baseline,40,True,6,2,14.602522893872711,4.6992606564502056e-07,4.903831304055459,Medium
Baseline,41,True,3,1,23.912691170551014,7.822415163509912e-47,14.323327942293567,Medium
Baseline,42,True,10,6,-27.172487480522925,0.48405665603350756,0.03997468065116107,Medium
Baseline,43,True,6,2,16.94045467845035,6.882138643675251e-11,6.418478797272708,Medium
Baseline,44,True,10,4,14.081009724193255,1.93669236169186e-06,4.618063105088516,Medium
Baseline,45,True,5,0,15.975055805021313,4.642209491802102e-09,5.743308795285833,Medium
Baseline,46,True,8,4,15.426027205037329,3.4933257494200247e-08,5.39151399950626,Medium
Baseline,47,True,11,5,-27.122282359565496,0.48396428506421657,0.04020640648111739,Medium
Baseline,48,True,3,1,20.312662477791513,1.4919075212146016e-21,9.46329766425532,Medium
Baseline,49,True,5,0,15.979325739253973,4.5653784217648744e-09,5.7461328675067795,Medium
Baseline,50,True,9,4,14.515158734716508,6.026785016628057e-07,4.85475495544712,Medium
QoT-GLR,1,True,6,0,16.459639905935862,6.283638056402397e-10,6.072833473702852,Medium
QoT-GLR,2,True,6,1,16.729772748237096,1.8681107416040626e-10,6.264667338700659,Medium
QoT-GLR,3,True,3,0,17.40389485538787,6.4284085744136595e-12,6.770240863156913,Medium
QoT-GLR,4,True,8,1,15.459725237416745,3.108034009512334e-08,5.412471703239248,Medium
QoT-GLR,5,True,6,0,16.249784507395837,1.5344552031820147e-09,5.927869064754231,Medium
QoT-GLR,6,True,2,1,20.575841602368815,8.830352837542879e-23,9.75442013125062,Medium
QoT-GLR,7,True,5,0,16.440136959394312,6.839454694967048e-10,6.0592130752327975,Medium
QoT-GLR,8,True,6,1,15.794481261206501,9.267806652354777e-09,5.625141350679345,Medium
QoT-GLR,9,True,4,0,16.15253092941859,2.288464718700294e-09,5.861866499889871,Medium
QoT-GLR,10,True,5,2,15.605201644266117,1.857545228900988e-08,5.503886370733243,Medium
QoT-GLR,11,True,6,1,15.510655819278611,2.600453229515587e-08,5.444301499330032,Medium
QoT-GLR,12,True,7,3,15.157168851721337,8.605542285119165e-08,5.227184382387089,Medium
QoT-GLR,13,True,2,3,25.03530743411354,4.973714139129105e-60,16.299517504418272,Medium
QoT-GLR,14,True,8,2,13.940866357753329,2.757863619669916e-06,4.544150377641055,Medium
QoT-GLR,15,True,3,4,19.127786235074616,7.497083878463468e-17,8.256551397079647,Medium
QoT-GLR,16,True,8,0,14.654000713108687,4.049208865093823e-07,4.932980658178185,Medium
QoT-GLR,17,True,3,4,20.717544204596198,1.7937949096928328e-23,9.914860021798244,Medium
QoT-GLR,18,True,2,0,19.164638207066538,5.584116496602147e-17,8.291656216165476,Medium
QoT-GLR,19,True,9,2,14.75837764763016,2.9783288850893044e-07,4.992617093998728,Medium
QoT-GLR,20,True,8,4,13.830369296689868,3.6165987247695293e-06,4.486708369137593,Medium
QoT-GLR,21,True,10,4,13.635213879226676,5.745589539351245e-06,4.387024612558625,Medium
QoT-GLR,22,True,4,5,20.015413115350377,2.983629754201522e-20,9.14492257177428,Medium
QoT-GLR,23,True,10,6,13.868330567031357,3.2974545781386474e-06,4.506360228593772,Medium
QoT-GLR,24,True,5,7,18.82742823506958,7.562495209607692e-16,7.975919990096925,Medium
QoT-GLR,25,True,3,0,18.701523629599645,1.9032576105546636e-15,7.861140501545378,Medium
QoT-GLR,26,True,3,0,19.784348446995885,2.672819810325619e-19,8.904853917291554,Medium
QoT-GLR,27,True,7,5,15.204649329124116,7.367659440340356e-08,5.25583646154119,Medium
QoT-GLR,28,True,6,8,14.994536759801804,1.4469982363941523e-07,5.130222664242804,Medium
QoT-GLR,29,True,6,4,15.890651747576785,6.435480962939853e-09,5.687769189616659,Medium
QoT-GLR,30,True,7,4,14.811878768356996,2.537383809993455e-07,5.02346424408743,Medium
QoT-GLR,31,True,5,6,-27.122420363505398,0.48396453970503894,0.040205767675116404,Medium
QoT-GLR,32,True,4,2,17.785100183787577,7.527105917529714e-13,7.073989097909627,Medium
QoT-GLR,33,True,7,3,15.192826638811896,7.659337465305012e-08,5.248687411839135,Medium
QoT-GLR,34,True,2,2,20.024431910088715,2.732455338995762e-20,9.154422924238094,Medium
QoT-GLR,35,True,3,0,17.404062997390298,6.422587653992919e-12,6.770371923177406,Medium
QoT-GLR,36,True,4,1,19.08613288499928,1.0428355561742344e-16,8.217051733154996,Medium
QoT-GLR,37,True,6,6,14.820089031868513,2.475334715310966e-07,5.028214875951458,Medium
QoT-GLR,38,True,3,8,21.550005940722187,5.0430464058632765e-28,10.91213358720125,Medium
QoT-GLR,39,True,4,3,18.0910552485904,1.17149729255999e-13,7.3276065030328414,Medium
QoT-GLR,40,True,6,7,14.606132817990925,4.6507107058023264e-07,4.905869798531476,Medium
QoT-GLR,41,True,3,7,23.91269659788708,7.821407616950272e-47,14.323336892158444,Medium
QoT-GLR,42,True,10,9,13.462562574734672,8.513596584008572e-06,4.300683727725846,Medium
QoT-GLR,43,True,6,10,16.95090769234628,6.541328845837187e-11,6.426207750573039,Medium
QoT-GLR,44,True,10,11,13.673469162475513,5.2554064060267995e-06,4.406389006937211,Medium
QoT-GLR,45,True,5,2,15.495594099142378,2.7418349504613486e-08,5.43486901817854,Medium
QoT-GLR,46,True,8,8,14.43740047006199,7.490539246693449e-07,4.811487927895258,Medium
QoT-GLR,47,True,11,2,13.818220347595012,3.7245147927207835e-06,4.480437199354382,Medium
QoT-GLR,48,True,3,6,20.327511699051712,1.2776472995097155e-21,9.479489763453635,Medium
QoT-GLR,49,True,5,11,15.459466830088264,3.110830949735579e-08,5.41231068328538,Medium
QoT-GLR,50,True,9,12,14.021335390654938,2.254290459413599e-06,4.586444542005703,Medium
Baseline,1,True,8,0,16.453590224000557,6.451292548918263e-10,6.068605245934473,High
Baseline,2,True,3,0,17.404087865084627,6.421727186233744e-12,6.770391306773965,High
Baseline,3,True,7,0,15.768582430141471,1.0210648874674769e-08,5.608393773573267,High
Baseline,4,True,4,1,20.834436828178553,4.631105769791225e-24,10.049193722577227,High
Baseline,5,True,3,0,18.769666394970542,1.1587206125315319e-15,7.92305547463511,High
Baseline,6,True,8,0,14.857991693292023,2.2066870704228865e-07,5.050204466296603,High
Baseline,7,True,7,1,16.13720368797229,2.43533226709871e-09,5.8515316900368965,High
Baseline,8,True,8,2,14.811372811241974,2.5412543077255626e-07,5.023171633479037,High
Baseline,9,True,7,0,16.945660018751287,6.710360566751917e-11,6.422326460660705,High
Baseline,10,True,5,0,17.896357560146203,3.8841505459603126e-13,7.165182474575706,High
Baseline,11,True,7,3,14.92100960113946,1.8190703564468e-07,5.086977972130203,High
Baseline,12,True,8,1,16.369952556875134,9.250440440804936e-10,6.010450223438186,High
Baseline,13,True,3,0,20.64045323811339,4.2966302867116285e-23,9.827250779972985,High
Baseline,14,True,6,0,-27.122189092641655,0.48396411296853675,0.04020683820983379,High
Baseline,15,True,5,0,15.17826472860884,8.033384227677889e-08,5.239895349602552,High
Baseline,16,True,3,0,19.94059288071397,6.145829298329995e-20,9.06648653735308,High
Baseline,17,True,5,0,-27.122428052059547,0.4839645538916148,0.0402057320858909,High
Baseline,18,True,6,1,14.637110090292563,4.2527265696331146e-07,4.923397281196533,High
Baseline,19,True,6,2,16.467132556921097,6.081719787682147e-10,6.078074301600872,High
Baseline,20,True,6,2,15.380106088927194,4.0906238111671823e-08,5.363085015238201,High
Baseline,21,True,4,1,18.37451523228711,1.8563159534149225e-14,7.570684339222141,High
Baseline,22,True,3,0,17.396534824448818,6.688217906464042e-12,6.764506496413311,High
Baseline,23,True,6,2,17.818963538503834,6.165053560202678e-13,7.101622026706247,High
Baseline,24,True,8,3,15.742250399257486,1.1261185490646227e-08,5.591417185423488,High
Baseline,25,True,9,3,15.401005962147202,3.8078309778696315e-08,5.376005137629555,High
Baseline,26,True,7,1,17.406950767198918,6.323400420283962e-12,6.772623221188641,High
Baseline,27,True,5,1,17.37797055087399,7.388986677314848e-12,6.750064216870449,High
Baseline,28,True,9,4,15.545748551880598,2.297086959306246e-08,5.4663420612134885,High
Baseline,29,True,2,0,21.37503028484531,5.399445648164853e-27,10.694510007796941,High
Baseline,30,True,8,2,-27.122466950637538,0.4839646256653369,0.04020555203037921,High
Baseline,31,True,3,4,18.554412200301837,5.414675597117004e-15,7.729118877280847,High
Baseline,32,True,6,1,-27.172412979814297,0.48405651935632144,0.03997502352390433,High
Baseline,33,True,5,2,17.68731276908032,1.3282315935302585e-12,6.994795394667406,High
Baseline,34,True,8,3,-27.122210302583824,0.48396415210518223,0.04020674002948524,High
Baseline,35,True,5,2,15.179075306262138,8.012123750097461e-08,5.240384365747437,High
Baseline,36,True,7,4,16.378859679717625,8.904993528683489e-10,6.016616923660629,High
Baseline,37,True,9,5,-27.122221988724334,0.4839641736684411,0.04020668593470429,High
Baseline,38,True,5,0,15.976096152803779,4.623378481511844e-09,5.743996738220983,High
Baseline,39,True,6,3,18.6881541446279,2.0960058567531296e-15,7.849049793492627,High
Baseline,40,True,7,4,16.604578113562773,3.3077803564752474e-10,6.175018778674234,High
Baseline,41,True,7,6,16.599464478711003,3.38473005898739e-10,6.171384436161226,High
Baseline,42,True,7,5,14.542844407576903,5.572748679147535e-07,4.870253838999289,High
Baseline,43,True,5,3,15.490016133915498,2.79599667418253e-08,5.431379936503638,High
Baseline,44,True,6,0,15.247294444129984,6.399375926524402e-08,5.281704493599567,High
Baseline,45,True,5,1,-27.122235600998792,0.4839641987857645,0.040206622924000956,High
Baseline,46,True,8,4,15.633078740556565,1.6798305957891045e-08,5.521579302441589,High
Baseline,47,True,8,3,14.32971589044863,1.006050813383263e-06,4.7522050501446795,High
Baseline,48,True,9,7,15.207718773108152,7.293644433543503e-08,5.25769411194769,High
Baseline,49,True,9,7,16.017648934036547,3.9274800997626325e-09,5.771541511930945,High
Baseline,50,True,1,0,22.165110477942015,5.472697247792784e-32,11.712912551877292,High
Baseline,51,True,6,5,-27.17234328896997,0.4840563915021357,0.039975344262991944,High
Baseline,52,True,8,6,-27.172436185531232,0.48405656192909025,0.03997491672449979,High
Baseline,53,True,3,5,18.89621229975561,4.516457776125976e-16,8.03933251624071,High
Baseline,54,True,6,2,15.38049256579071,4.085220886364267e-08,5.363323649906022,High
Baseline,55,True,2,1,22.84174149134857,4.811531183794267e-37,12.661829219656628,High
Baseline,56,True,6,6,16.982033593181082,5.619235162751771e-11,6.44927738773463,High
Baseline,57,True,6,4,14.644724588275544,4.159836732452936e-07,4.9277152771087,High
Baseline,58,True,2,0,21.020421489294417,4.97810659953513e-25,10.266690062133643,High
Baseline,59,True,9,8,14.87045872103101,2.1244061663632694e-07,5.057458328367998,High
Baseline,60,True,5,2,-27.172331217931077,0.48405636935661406,0.03997539981795416,High
Baseline,61,True,4,1,18.483382082315728,8.860371057049006e-15,7.666170625496897,High
Baseline,62,True,6,1,-27.12246114123419,0.4839646149461351,0.04020557892115912,High
Baseline,63,True,3,1,17.945051520106013,2.8923262014184257e-13,7.205464004777277,High
Baseline,64,True,4,4,18.416841758037993,1.3954445405100952e-14,7.607666479927507,High
Baseline,65,True,2,0,23.31129444822117,4.831476288110216e-41,13.36515806552311,High
Baseline,66,True,2,0,20.564700722065126,9.987528843446709e-23,9.74191673006751,High
Baseline,67,True,7,9,16.726830521731696,1.8937150180608096e-10,6.26254562755698,High
Baseline,68,True,1,1,30.90118136153798,2.569775785582736e-225,32.02347410176737,High
Baseline,69,True,7,7,16.02749882083372,3.777664921854688e-09,5.778090210887981,High
Baseline,70,True,6,2,17.95922102780666,2.652897929611018e-13,7.217228050219475,High
Baseline,71,True,5,5,18.963308638560672,2.7103833923887507e-16,8.101674841442557,High
Baseline,72,True,3,8,20.845038042516855,4.0885601087470104e-24,10.061466350963173,High
Baseline,73,True,10,7,14.33825226374351,9.830507653487944e-07,4.756877747893837,High
Baseline,74,True,2,7,26.199772519841638,7.910272682633006e-78,18.637944019745444,High
Baseline,75,True,6,1,18.421888900617155,1.3485101185098677e-14,7.612088379919162,High
Baseline,76,True,5,1,19.749792395581608,3.6738481340309837e-19,8.869497114271693,High
Baseline,77,True,6,6,17.981718408119146,2.3114818831715104e-13,7.235945670272244,High
Baseline,78,True,1,0,22.02024390794691,5.280550042980921e-31,11.519180204475404,High
Baseline,79,True,6,4,16.625701368937907,3.007178269226747e-10,6.190054110374514,High
Baseline,80,True,9,5,14.515496254971298,6.021050377345007e-07,4.854943607391195,High
Baseline,81,True,2,2,21.635176961631373,1.5360734069199076e-28,11.019660762073471,High
