load,strategy,time_seconds,time_min,mean_osnr_dB,p5_osnr_dB,mean_log10_ber,ber_gt_1e7_rate,ber_gt_fec_rate
High,Baseline,0.0,0.0,11.727988398038356,-27.122462112432615,-15.635507650448313,0.27,0.135
High,Baseline,300.0,5.0,13.760669308494826,-20.673750413116867,-13.928890788929344,0.27,0.095
High,Baseline,600.0,10.0,14.974069510315475,-5.386052608222158,-12.801648080936765,0.28,0.055
High,Baseline,900.0,15.0,14.161691180832294,-21.356291992308442,-12.189922137401313,0.375,0.065
High,Baseline,1200.0,20.0,13.708756634643093,-22.72685964726395,-12.48163828124385,0.39,0.08
High,Baseline,1500.0,25.0,16.361927201310692,13.476184076445016,-13.928995679335706,0.365,0.015
High,Baseline,1800.0,30.0,16.808558774731797,13.274067891905112,-14.8597414232164,0.35,0.0
High,Baseline,2100.0,35.0,16.710466455283743,13.931914495625541,-16.19566214229901,0.295,0.02
High,Baseline,2400.0,40.0,15.565438437187831,12.179770101456544,-16.19092456764654,0.24,0.05
High,Baseline,2700.0,45.0,13.446095977132632,-28.427176008860044,-16.236773079274663,0.255,0.095
High,Baseline,3000.0,50.0,13.261144893427028,-29.96833102021714,-14.920679552444785,0.245,0.1
High,Baseline,3300.0,55.0,16.03144699734927,14.142896808973783,-13.634761626641508,0.215,0.03
High,Baseline,3600.0,60.0,14.663367235641012,-26.235604909800582,-12.466101586507994,0.3,0.055
High,QoT-GLR,0.0,0.0,16.743389147545347,13.998873730808574,-15.970261714016802,0.255,0.01
High,QoT-GLR,300.0,5.0,15.990885251991932,13.811313212013037,-13.978653140292499,0.28,0.025
High,QoT-GLR,600.0,10.0,16.605375978669784,13.902165063633541,-12.969930479412335,0.255,0.02
High,QoT-GLR,900.0,15.0,16.013467426321167,13.816150250348384,-12.886500180261823,0.265,0.025
High,QoT-GLR,1200.0,20.0,14.038366998385918,-21.837283608134587,-13.029637036315695,0.315,0.08
High,QoT-GLR,1500.0,25.0,16.55558041879653,13.870377304652717,-14.470017258956132,0.305,0.02
High,QoT-GLR,1800.0,30.0,17.167656003412823,14.09771903200115,-15.473249294555307,0.28,0.0
High,QoT-GLR,2100.0,35.0,16.05405395330222,13.499464006963207,-16.100311042298245,0.305,0.045
High,QoT-GLR,2400.0,40.0,14.547664973281552,-21.317106562873672,-15.660256331039754,0.31,0.07
High,QoT-GLR,2700.0,45.0,16.402957306495875,13.934697113176046,-16.25086973736609,0.26,0.02
High,QoT-GLR,3000.0,50.0,15.863633135260255,13.459951111581955,-14.77094678442205,0.3,0.045
High,QoT-GLR,3300.0,55.0,14.998820232022165,11.321008786641261,-13.191513635756872,0.305,0.05
High,QoT-GLR,3600.0,60.0,15.949698219989287,13.692343706133235,-12.804265934635517,0.275,0.025
Low,Baseline,0.0,0.0,17.198292887676963,14.94201486981751,-11.515289096659396,0.1,0.0
Low,Baseline,300.0,5.0,7.500698486346614,-29.36225692471155,-8.364888883485126,0.3,0.2
Low,Baseline,600.0,10.0,12.09058516212619,-5.367100070226709,-7.886651198779525,0.4,0.2
Low,Baseline,900.0,15.0,3.107254866363457,-27.916065419072567,-6.798918012568154,0.5,0.3
Low,Baseline,1200.0,20.0,12.306575377132425,-6.214195066701915,-8.167186109152194,0.4,0.1
Low,Baseline,1500.0,25.0,13.906204565334644,0.8509690566958472,-8.807477487713973,0.3,0.1
Low,Baseline,1800.0,30.0,16.181039768525565,14.512159392537225,-9.044897119969942,0.3,0.0
Low,Baseline,2100.0,35.0,16.736744202948053,14.92621151401884,-10.236164708503217,0.1,0.0
Low,Baseline,2400.0,40.0,13.307568217172445,-5.083771067484015,-10.252847858017022,0.2,0.1
Low,Baseline,2700.0,45.0,17.15590448108815,14.996515433981887,-11.463495156045513,0.1,0.0
Low,Baseline,3000.0,50.0,17.1380299830987,14.851362057909787,-11.360116957778086,0.1,0.0
Low,Baseline,3300.0,55.0,16.983452271993947,14.670663658147147,-10.916396353935559,0.2,0.0
Low,Baseline,3600.0,60.0,12.736137037585696,-7.691440754476584,-9.850327607376915,0.2,0.1
Low,QoT-GLR,0.0,0.0,16.869826922683853,14.634850357144867,-10.789553360008993,0.2,0.0
Low,QoT-GLR,300.0,5.0,16.78634705013291,14.739601035552854,-10.404644742531286,0.2,0.0
Low,QoT-GLR,600.0,10.0,16.7138320385177,14.841127855271239,-10.109717123397546,0.1,0.0
Low,QoT-GLR,900.0,15.0,13.009594391247708,-5.299913013383325,-9.321091574563091,0.2,0.1
Low,QoT-GLR,1200.0,20.0,16.712280373926404,14.834016219012431,-10.10879421193371,0.1,0.0
Low,QoT-GLR,1500.0,25.0,16.36491087027993,14.166886570183769,-9.50768787903282,0.2,0.0
Low,QoT-GLR,1800.0,30.0,16.770049278069283,14.682339046531212,-10.339036722330237,0.1,0.0
Low,QoT-GLR,2100.0,35.0,16.806262497536828,14.57843098138602,-10.507136031267786,0.2,0.0
Low,QoT-GLR,2400.0,40.0,16.85530460791963,14.53969860510139,-10.771379288820254,0.2,0.0
Low,QoT-GLR,2700.0,45.0,16.876285960055856,14.591669740682324,-10.883064574196599,0.3,0.0
Low,QoT-GLR,3000.0,50.0,16.839801570240944,14.708622575154253,-10.65623889733569,0.2,0.0
Low,QoT-GLR,3300.0,55.0,16.785685457193733,14.843491640893578,-10.35520834331195,0.1,0.0
Low,QoT-GLR,3600.0,60.0,16.760393592869836,14.908464183393386,-10.214634080380275,0.1,0.0
Medium,Baseline,0.0,0.0,7.768349694035659,-27.17245823279702,-11.056630255309493,0.32,0.22
Medium,Baseline,300.0,5.0,15.582698434361141,13.969698570620658,-12.499314280038707,0.28,0.04
Medium,Baseline,600.0,10.0,14.102586803489372,-10.213328392293647,-11.648439538372399,0.34,0.06
Medium,Baseline,900.0,15.0,15.592255735467532,13.12483664997512,-10.677057000851223,0.34,0.02
Medium,Baseline,1200.0,20.0,12.395099624276854,-22.726749255053534,-9.226634484414037,0.42,0.1
Medium,Baseline,1500.0,25.0,15.813954196467925,12.834106297333264,-10.190854997920333,0.38,0.02
Medium,Baseline,1800.0,30.0,16.395529922557184,12.893735436669783,-10.772818139752967,0.4,0.0
Medium,Baseline,2100.0,35.0,14.099735319887017,-11.08666278985773,-10.867756698184616,0.4,0.1
Medium,Baseline,2400.0,40.0,16.22544641371545,14.06263612637603,-12.174004641242806,0.34,0.02
Medium,Baseline,2700.0,45.0,8.784326278870365,-29.222522937598537,-10.522153810531789,0.38,0.2
Medium,Baseline,3000.0,50.0,14.391871614561591,-10.258939650805196,-12.465968282604859,0.3,0.06
Medium,Baseline,3300.0,55.0,13.498385425264699,-19.136576669691415,-11.933821726493616,0.34,0.1
Medium,Baseline,3600.0,60.0,11.560732091268457,-27.904302214262472,-10.764106391899594,0.4,0.12
Medium,QoT-GLR,0.0,0.0,15.93634558783696,13.638894848385343,-11.991621979930844,0.32,0.02
Medium,QoT-GLR,300.0,5.0,13.40196613330723,-25.442167044906032,-11.792896252276517,0.34,0.08
Medium,QoT-GLR,600.0,10.0,15.537815980088666,3.153711165144406,-11.614242829916527,0.3,0.06
Medium,QoT-GLR,900.0,15.0,15.079688390531707,13.448572637937993,-10.901870393712231,0.32,0.04
Medium,QoT-GLR,1200.0,20.0,12.702762584538474,-22.32631819392002,-9.783504433172107,0.36,0.1
Medium,QoT-GLR,1500.0,25.0,16.161263588674,13.567379417186665,-10.808616249175063,0.34,0.02
Medium,QoT-GLR,1800.0,30.0,16.77797881302514,13.53935469602584,-11.406034601929228,0.3,0.0
Medium,QoT-GLR,2100.0,35.0,15.190186909427567,-0.13071304333533362,-11.287907376040852,0.36,0.06
Medium,QoT-GLR,2400.0,40.0,15.234929229162985,13.353300831512385,-11.624972883594701,0.34,0.04
Medium,QoT-GLR,2700.0,45.0,15.945669277329534,13.656506559131843,-11.4584556380194,0.32,0.02
Medium,QoT-GLR,3000.0,50.0,15.985303122871676,13.515632372955297,-11.708487727421145,0.32,0.04
Medium,QoT-GLR,3300.0,55.0,14.172531263253825,-4.448185085755146,-11.56574828452137,0.32,0.06
Medium,QoT-GLR,3600.0,60.0,15.874529788690138,13.630918673771333,-11.531413896431213,0.32,0.02
