strategy,request_id,time_seconds,osnr_dB,ber,log10_ber,min_sun_angle_deg,max_link_distance_km,load
Baseline,1,0.0,17.87073030377909,4.530257543716783e-13,-12.343877107780617,24.545454545454568,3899.742051799071,Low
Baseline,2,0.0,18.389149014118942,1.682426259617108e-14,-13.774063961721042,58.840489468377484,3899.7420517990704,Low
Baseline,3,0.0,18.630423528743677,3.1684512818336837e-15,-14.4991529662075,49.624662212543505,3899.742051799069,Low
Baseline,4,0.0,16.145988614595943,2.350099791175273e-09,-8.628913696095662,44.79712006265182,3899.742051799071,Low
Baseline,5,0.0,20.209352117193454,4.324449807277188e-21,-20.3640691392658,25.65943579566764,3899.742051799072,Low
Baseline,6,0.0,15.772369967476159,1.0067349922836525e-08,-7.99708483583722,43.34617609378925,3899.742051799071,Low
Baseline,7,0.0,16.142506253159603,2.3835433234929866e-09,-8.622776949890516,27.037770503182895,3899.7420517990704,Low
Baseline,8,0.0,18.868721660549777,5.55506842949506e-16,-15.255310586881698,24.545454545454568,3899.742051799071,Low
Baseline,9,0.0,14.628555320986491,4.3593691733840397e-07,-6.360576351176262,25.659435795667655,3899.742051799073,Low
Baseline,10,0.0,15.325132096166536,4.930995750536466e-08,-7.307065371737643,47.1472134271201,3899.74205179907,Low
Baseline,1,300.0,-29.362259664281787,0.4876081369673559,-0.3119290556981667,7.475698187351413,3899.742051799073,Low
Baseline,2,300.0,18.68242864117346,2.184214292302279e-15,-14.660704755436662,39.90810356904719,3899.7420517990718,Low
Baseline,3,300.0,18.364206088465235,1.9891121518337022e-14,-13.701340729419874,51.270202540539096,3899.742051799071,Low
Baseline,4,300.0,16.145994906802066,2.3500397659696757e-09,-8.628924788794187,42.68029360128082,3899.7420517990713,Low
Baseline,5,300.0,19.252429144651067,2.740463088980958e-17,-16.56217604302066,25.61543803264142,3899.7420517990713,Low
Baseline,6,300.0,15.581064641877111,2.0255105215686913e-08,-7.693465496520208,38.52112261298081,3899.742051799071,Low
Baseline,7,300.0,16.1402243562573,2.4057012499653528e-09,-8.61875830615135,25.615438032641347,3899.742051799072,Low
Baseline,8,300.0,-29.362253576347925,0.4876081282846988,-0.3119290634314874,7.475698187351413,3899.742051799073,Low
Baseline,9,300.0,14.388860681989255,8.563226460090605e-07,-6.067362570626444,18.98682045805983,3899.7420517990763,Low
Baseline,10,300.0,15.176289642880361,8.085408640417013e-08,-7.092298025752212,56.98221336717923,3899.742051799071,Low
Baseline,1,600.0,-5.366732090087716,0.31131655346864984,-0.5067977861952327,10.884112855542188,3899.742051799073,Low
Baseline,2,600.0,18.851836833935437,6.304108061789969e-16,-15.200376351001234,18.012314630308218,3899.742051799073,Low
Baseline,3,600.0,17.842660091903845,5.356449958730584e-13,-12.271122948018164,47.51965557361947,3899.7420517990677,Low
Baseline,4,600.0,16.14577828724757,2.35210706610078e-09,-8.628542913395869,41.8883859001307,3899.742051799073,Low
Baseline,5,600.0,18.18823979736703,6.312404893391333e-14,-13.199805152174113,33.52008122952886,3899.742051799075,Low
Baseline,6,600.0,15.307394741389293,5.234849964835059e-08,-7.2810957610487455,22.927839965550206,3899.74205179907,Low
Baseline,7,600.0,16.125222003334883,2.5562960093376965e-09,-8.592388857955514,29.769857570940932,3899.7420517990713,Low
Baseline,8,600.0,-5.367401144885885,0.31132995109761163,-0.5067790965654446,10.884112855542188,3899.742051799073,Low
